,City Name,Latitude,Longitude,Temperature,Latitude Humidity,Cloudiness,Wind Speed
243,khatanga,78.3184581511805,95.19190573861033,-20.4,87.0,100.0,10.47
244,georgetown,-13.335227006133906,-15.251479765539415,83.25,70.0,20.0,8.05
245,kodiak,54.378238789469975,-152.421511812331,37.4,52.0,1.0,34.52
246,tubuala,11.089813594240809,-79.18299491075989,72.03,83.0,40.0,5.75
247,saskylakh,75.7404412735539,115.51045316258956,-36.87,79.0,1.0,5.95
249,cherskiy,73.11529470036874,160.48953681681144,-24.84,86.0,100.0,7.81
250,mataura,-83.0340389670617,-149.2840015441364,57.0,84.0,48.0,18.01
251,hobart,-68.07773336261492,140.66035101354663,64.35,88.0,74.0,2.95
252,nouadhibou,20.889779211614112,-17.791740977235094,80.6,28.0,100.0,10.36
253,hadgaon,19.437248908260685,77.93648518909026,77.04,26.0,0.0,2.35
254,lebu,-35.71584803373218,-83.60884777984654,61.66,75.0,18.0,11.95
255,kodiak,55.43950134863309,-150.7828279284137,37.4,52.0,1.0,34.52
256,arraial do cabo,-32.135972624387,-33.61622175231159,84.2,61.0,75.0,19.57
257,albany,-78.75022639394109,118.44701154046334,10.26,49.0,0.0,18.01
258,ushuaia,-74.70497917483593,-22.92599317052384,59.0,47.0,75.0,17.27
259,tasiilaq,74.01184120421857,-39.81794798077971,10.4,52.0,0.0,2.3
260,rabo de peixe,43.179361330632986,-23.21551372025118,62.6,94.0,40.0,17.27
261,talnakh,75.34339511645987,89.82365786291456,-30.19,74.0,95.0,2.75
262,batagay-alyta,65.82345505207692,130.72332596537944,-40.38,77.0,35.0,1.05
263,saint george,32.239135538243346,-64.39448756236703,30.2,93.0,1.0,2.15
264,port alfred,-66.67882536247672,38.530997334533936,69.21,66.0,93.0,13.33
265,pacific grove,28.12371610023328,-136.40583615919496,47.93,87.0,90.0,3.44
266,ushuaia,-54.382438301712156,-64.97377509301512,59.0,47.0,75.0,17.27
267,hobart,-43.06923365119339,148.1746605178949,64.35,88.0,74.0,2.95
268,severo-kurilsk,47.49613461576649,159.96742124055288,16.81,89.0,100.0,8.99
269,busselton,-58.36952793015736,102.24793387211503,60.94,79.0,0.0,8.43
270,butaritari,26.04402821102599,166.34059089284642,79.11,81.0,27.0,12.68
271,ushuaia,-64.06746132192053,-53.275559794322916,59.0,47.0,75.0,17.27
272,nivala,63.803192254798034,24.82680887752818,32.0,96.0,99.0,1.01
273,rikitea,-19.00202633411581,-114.974874752164,79.21,65.0,95.0,6.87
274,hithadhoo,-5.591281029822696,75.5455456350773,82.76,68.0,77.0,3.94
275,nelson bay,-36.26434485495479,157.87593777900486,72.27,78.0,77.0,9.22
276,bay roberts,44.75015395985929,-53.55723859708168,29.41,79.0,79.0,1.01
277,mataura,-32.52842504172504,-151.42479823722527,57.0,84.0,48.0,18.01
279,mataura,-87.1335099487665,-152.52211316904504,57.0,84.0,48.0,18.01
280,ushuaia,-81.21193527158621,-37.85180725074338,59.0,47.0,75.0,17.27
282,qaanaaq,76.62918201735204,-70.86430165044996,9.97,78.0,0.0,3.89
284,lagoa,48.35569515707533,-29.973531759957666,61.75,89.0,100.0,23.69
286,ahuimanu,28.922503909713456,-155.2727589393977,72.97,73.0,40.0,10.36
288,vaini,-78.6001778338453,-176.04246803413847,71.6,100.0,75.0,2.3
289,wewak,-0.8376778303937442,144.14661554943433,80.38,79.0,100.0,5.28
290,kaitangata,-50.44912597463669,169.96823401362047,55.0,76.0,28.0,4.0
291,copainala,16.996622271141902,-93.26765341602871,60.8,94.0,1.0,3.44
292,vostok,48.6934395852318,149.2404759240036,3.87,95.0,61.0,3.29
293,tuktoyaktuk,73.79456823169491,-129.8674042939083,-11.4,87.0,96.0,6.98
294,vaini,-49.96957633859349,-171.06145367449707,71.6,100.0,75.0,2.3
295,saint george,28.786308127801846,-47.67976485172068,30.2,93.0,1.0,2.15
296,henties bay,-24.42694478859481,4.491345439954273,71.15,82.0,98.0,7.74
297,busselton,-61.40269908449025,91.12933131412166,60.94,79.0,0.0,8.43
298,zhongshu,24.207050193434682,104.04077927988266,51.3,76.0,0.0,8.57
299,arraial do cabo,-42.06505184503802,-22.965440805411504,84.2,61.0,75.0,19.57
300,arraial do cabo,-29.72399859765141,-32.98128574893303,84.2,61.0,75.0,19.57
301,kodiak,50.22475409018597,-151.47380390025236,37.4,52.0,1.0,34.52
302,jamestown,-40.83201661643426,-10.193124520012503,15.91,86.0,90.0,2.53
303,busselton,-78.40515499658787,87.52955331830424,60.94,79.0,0.0,8.43
304,hermiston,45.647120827055915,-119.59445635664734,27.97,93.0,1.0,0.31
305,ribeira grande,33.174619932862626,-39.73959013113614,64.4,88.0,75.0,14.97
306,saldanha,-36.13186834763029,9.50882769278573,77.0,36.0,0.0,24.16
307,georgetown,-4.219469620057964,-13.850742392212709,83.25,70.0,20.0,8.05
308,hilo,17.304944387217105,-156.5324587488858,64.45,77.0,1.0,8.05
309,baykit,62.46951904928844,95.31199001717005,-26.39,80.0,100.0,2.48
310,arraial do cabo,-25.320782532932526,-41.20605121188237,84.2,61.0,75.0,19.57
311,killybegs,57.071017829745955,-9.428545868285,36.82,80.0,0.0,5.75
312,ushuaia,-62.62681422563659,-49.566679794186,59.0,47.0,75.0,17.27
313,pevek,79.39099097525079,167.93636572442404,-20.63,88.0,78.0,4.76
314,springfield,28.76518256923329,-85.77436486514706,35.78,100.0,90.0,6.91
315,kodiak,50.25105499820373,-147.22340362457084,37.4,52.0,1.0,34.52
316,rikitea,-65.2357557397115,-127.3413658028669,79.21,65.0,95.0,6.87
317,puerto ayora,-9.139347755103373,-109.06711106923238,75.99,95.0,16.0,1.99
318,port blair,10.229295766138932,87.59482074394754,77.76,68.0,39.0,10.2
319,bluff,-66.11217210336491,155.28097325345266,57.0,84.0,64.0,18.01
320,yar-sale,70.58455383461029,69.34898300288864,-38.96,80.0,27.0,8.93
321,hermanus,-76.49236598836276,1.848134539199691,73.99,53.0,8.0,8.01
323,rikitea,-21.95935254573847,-123.13828663579197,79.21,65.0,95.0,6.87
324,atuona,-3.156262453625601,-148.97375576114075,77.32,78.0,10.0,16.37
326,nanakuli,11.232767076978632,-164.68091656130576,72.77,73.0,20.0,13.8
327,mataura,-82.00047217516496,-167.11396686140753,57.0,84.0,48.0,18.01
328,erzin,46.75732468396134,95.60795551363992,59.0,43.0,88.0,5.79
329,gao,17.00052662895017,-0.47606121812543734,86.88,10.0,27.0,9.33
330,salalah,11.143923885615052,58.5386136909639,77.0,47.0,0.0,9.22
331,jamestown,-28.00501797528411,-6.824943624928665,15.91,86.0,90.0,2.53
332,coquimbo,-25.802205360540384,-84.77110167381277,64.4,82.0,75.0,4.61
333,dunedin,-54.461480832310556,179.48335487016857,55.99,85.0,60.0,4.0
334,kapaa,38.378646251278184,-160.93260091911773,73.74,88.0,75.0,21.85
335,provideniya,54.9093645046718,-175.1981245093965,4.93,84.0,2.0,4.25
336,kalabagh,33.04073019648152,71.74530326752568,51.93,36.0,0.0,0.45
338,kapaa,12.753030702457096,-179.0461336409998,73.74,88.0,75.0,21.85
339,mataura,-68.25678157019846,-153.79875543218589,57.0,84.0,48.0,18.01
341,ponta do sol,33.04429694041043,-21.445042024691077,64.63,72.0,20.0,4.61
342,bluff,-71.2329737213048,173.10043340810222,57.0,84.0,64.0,18.01
343,fortuna,38.14270332632037,-141.89138910032943,43.54,93.0,90.0,1.63
344,mataura,-80.4521930699353,-144.15488382875256,57.0,84.0,48.0,18.01
345,barranca,-3.2250878026732153,-76.1226123611598,75.15,64.0,6.0,6.35
346,cabo san lucas,15.791763219318412,-116.95532768884779,59.31,77.0,1.0,10.36
347,mataura,-86.92424367477321,-166.171798858991,57.0,84.0,48.0,18.01
348,new norfolk,-74.60598527459655,125.40502397442333,64.99,67.0,49.0,1.52
349,thompson,76.525201782512,-94.48649231171525,-16.6,69.0,90.0,12.66
350,qaanaaq,84.52361582899772,-66.38513673463179,9.97,78.0,0.0,3.89
351,arraial do cabo,-37.32017234740206,-21.870255899591598,84.2,61.0,75.0,19.57
352,kodiak,52.70357325447526,-144.59331985596782,37.4,52.0,1.0,34.52
354,avarua,-49.78434856336769,-160.55132517838132,82.4,69.0,20.0,12.66
355,puerto ayora,-11.05581591206439,-105.07350857290194,75.99,95.0,16.0,1.99
356,torbay,33.13067696294978,-44.566915651363814,29.35,74.0,20.0,10.36
357,gushi,32.129280388025634,115.64000860188543,40.06,91.0,100.0,5.79
358,gambela,8.76348876778772,33.3861603777184,98.67,22.0,100.0,4.7
359,faanui,-0.6773794209341872,-158.54605143485136,80.96,71.0,44.0,12.75
360,broome,-14.840745746708208,124.09383471666297,11.79,72.0,90.0,12.66
361,longyearbyen,88.89676339317461,25.236872397737898,15.8,67.0,75.0,13.8
363,thompson,75.87945731988111,-91.12339818535932,-16.6,69.0,90.0,12.66
365,kodiak,43.04509761562656,-146.6290159044317,37.4,52.0,1.0,34.52
366,hermanus,-79.69206515259293,8.24435068781284,73.99,53.0,8.0,8.01
368,kaitangata,-67.04761888715024,176.5073905243167,55.0,76.0,28.0,4.0
369,vaini,-69.25963977879647,-173.07811282761767,71.6,100.0,75.0,2.3
370,bluff,-65.43538740292628,162.21875505032563,57.0,84.0,64.0,18.01
371,upernavik,77.76476619108968,-59.66829525305266,16.63,91.0,0.0,13.38
372,tiksi,78.55944167295283,124.38162889020111,-42.5,79.0,36.0,7.31
373,jamestown,-25.17631436501982,-0.8226145826244533,15.91,86.0,90.0,2.53
375,butembo,-0.1087123874560092,29.39415161224639,74.97,52.0,90.0,3.24
376,tibati,6.683649913729937,12.327011001662868,95.34,13.0,100.0,4.72
377,khetia,21.632076135457453,74.53984879552021,77.07,25.0,0.0,7.49
378,avarua,-43.73184391944988,-159.5411115353862,82.4,69.0,20.0,12.66
380,ponta do sol,32.66167565140245,-17.459022199838387,64.63,72.0,20.0,4.61
381,mataura,-28.52971255346916,-144.79918329259192,57.0,84.0,48.0,18.01
382,nanortalik,49.93630902718513,-41.29615994030732,22.64,89.0,0.0,11.48
383,shaunavon,48.475747068612264,-107.5972547019041,1.4,85.0,100.0,14.97
384,nemuro,38.52007595392416,146.90205691901252,28.9,95.0,0.0,11.27
385,solnechnyy,62.72051023571845,139.51177580193274,-6.7,88.0,74.0,5.12
386,khatanga,82.52089775009995,103.10848046911218,-20.4,87.0,100.0,10.47
387,port elizabeth,-36.37349572810169,26.767655870618427,68.0,88.0,75.0,5.75
389,palmer,60.99782354678658,-145.5173940323508,15.37,51.0,0.0,4.0
390,opuwo,-17.981091604754994,13.405395323089323,87.06,23.0,67.0,6.55
391,manakara,-22.821605950548147,50.231746691526496,84.49,69.0,22.0,6.26
392,nome,72.717805551158,-166.56885215941153,19.4,86.0,90.0,9.22
393,busselton,-72.90803084906152,79.45579233305631,60.94,79.0,0.0,8.43
394,santa cruz cabralia,-17.0231122637925,-35.863668743599305,82.4,65.0,75.0,5.75
395,torbay,48.65179837755812,-47.377805062690044,29.35,74.0,20.0,10.36
396,east london,-77.67890468270843,53.835925044400966,66.2,88.0,90.0,12.66
397,yumen,36.27495235649229,94.9214475454732,22.75,79.0,40.0,18.41
398,kaitangata,-48.36943259911388,170.6461675817253,55.0,76.0,28.0,4.0
399,nanortalik,57.96787167028009,-47.20897649344727,22.64,89.0,0.0,11.48
400,paoua,7.696013719341664,16.44587747693336,97.09,10.0,4.0,7.05
401,qaanaaq,89.16118960063676,-69.01777051017665,9.97,78.0,0.0,3.89
403,bukachacha,53.830766747995,116.88655670700109,2.23,86.0,100.0,4.47
404,bredasdorp,-82.48196995004886,13.27343916984546,69.8,49.0,75.0,13.8
405,anadyr,65.70166350738648,177.48115738228762,-16.6,76.0,0.0,6.71
406,rawson,-46.887887327456006,-63.7460591531984,72.5,51.0,0.0,14.41
408,cururupu,2.3813820242979205,-43.08284058113685,80.96,85.0,100.0,5.37
409,port shepstone,-31.239601012237877,31.051519553839427,75.06,85.0,75.0,26.57
411,hobart,-81.1897886565105,135.98824147600533,64.35,88.0,74.0,2.95
412,rikitea,-30.906067841026932,-135.3234448392912,79.21,65.0,95.0,6.87
413,lysogorskaya,44.09570091999683,43.26619058273042,29.21,100.0,90.0,11.18
414,lorengau,13.370462483405746,149.92882802588275,81.59,72.0,100.0,4.12
415,nemuro,39.754006141440414,147.98861030836588,28.9,95.0,0.0,11.27
416,cherskiy,68.10591532810537,162.92843652482276,-24.84,86.0,100.0,7.81
417,kodiak,41.09210830917445,-144.57590693711202,37.4,52.0,1.0,34.52
418,kysyl-syr,63.50571374007765,123.72068909630468,-51.7,76.0,70.0,2.42
419,vaini,-28.74280379500454,-172.4681184741892,71.6,100.0,75.0,2.3
420,bodden town,17.986857511366765,-80.05037756506202,77.7,88.0,20.0,3.44
421,mehamn,74.60510904686373,28.79415417198669,20.12,94.0,99.0,20.6
422,srednekolymsk,73.2169455662316,155.50866052124366,-29.24,83.0,100.0,9.42
423,nome,62.439870565687386,-167.43696345298702,19.4,86.0,90.0,9.22
424,alice springs,-24.424010191706458,135.07737074710622,76.19,88.0,100.0,14.97
425,mataura,-62.04806956998877,-161.9262559916556,57.0,84.0,48.0,18.01
426,lima,-18.50821330543029,-88.56886458232762,73.53,83.0,20.0,4.61
427,kapaa,11.987437444910583,-172.12845807691062,73.74,88.0,75.0,21.85
428,rikitea,-79.98165260775687,-126.38711291899065,79.21,65.0,95.0,6.87
429,port lincoln,-40.03158040032962,131.69330120357398,77.32,48.0,99.0,5.53
430,saskylakh,87.42979664749859,109.18551132830237,-36.87,79.0,1.0,5.95
431,ostersund,63.73415774534797,14.50650890201507,17.6,93.0,90.0,1.74
432,ushuaia,-86.69897462276464,-73.33184425645845,59.0,47.0,75.0,17.27
433,rikitea,-75.89004743241341,-131.40090488895333,79.21,65.0,95.0,6.87
434,thompson,74.16200126003079,-93.14642674563909,-16.6,69.0,90.0,12.66
435,atuona,-13.45256713996335,-130.58580248412008,77.32,78.0,10.0,16.37
436,kapaa,40.94252919757355,-164.46602890938607,73.74,88.0,75.0,21.85
437,la ronge,59.78669923152185,-103.21090227708626,-38.2,67.0,0.0,1.05
438,vaini,-73.19354865547257,-176.0524611371661,71.6,100.0,75.0,2.3
439,hamilton,31.448548420105354,-64.9152976151505,29.35,47.0,90.0,6.91
440,bredasdorp,-70.94574582595413,18.057886095619722,69.8,49.0,75.0,13.8
441,tiksi,80.3795839139782,132.53934740993907,-42.5,79.0,36.0,7.31
443,kapaa,10.668796617048343,-175.80974435409016,73.74,88.0,75.0,21.85
444,port alfred,-83.49910121585843,48.62198153854962,69.21,66.0,93.0,13.33
445,nova borova,50.6767801010424,28.503804933400886,40.46,93.0,100.0,13.18
446,busselton,-89.21519681386754,75.08143222228543,60.94,79.0,0.0,8.43
447,georgetown,-14.750889910059527,-18.722971077862923,83.25,70.0,20.0,8.05
448,asau,-10.267983401334803,177.84260389477873,42.91,100.0,40.0,10.36
451,atuona,0.688099658677757,-127.704728794143,77.32,78.0,10.0,16.37
452,hengshui,37.93181223582393,116.04444819195709,37.24,68.0,100.0,5.21
453,bose,23.30355219114172,106.39814284465109,51.01,62.0,0.0,1.99
454,tafresh,35.24496135692131,49.65949296561871,31.69,78.0,0.0,4.07
455,tiksi,73.32125054668185,131.32066481406457,-42.5,79.0,36.0,7.31
456,qaanaaq,80.73528306309944,-69.35457565593771,9.97,78.0,0.0,3.89
457,santa maria,19.547184170062422,-21.325936397557882,78.8,78.0,75.0,4.61
458,corinto,11.28577263582892,-88.20905761662716,60.01,47.0,100.0,8.88
459,jardim,-2.545882240089796,-38.35424097859354,84.2,71.0,30.0,6.26
460,hay river,65.773939931712,-120.1848681732711,-29.2,68.0,7.0,3.44
461,longyearbyen,80.04151557112391,20.00416143084476,15.8,67.0,75.0,13.8
462,provideniya,62.31692610562408,-175.88226992851045,4.93,84.0,2.0,4.25
464,atuona,9.59202207282911,-132.80503044538528,77.32,78.0,10.0,16.37
465,cape town,-84.7978209712925,-13.310346448620493,73.63,46.0,0.0,32.21
466,cherskiy,86.24473754153885,158.0409945380763,-24.84,86.0,100.0,7.81
467,kapaa,22.416414709642098,-173.74767579143486,73.74,88.0,75.0,21.85
468,busselton,-89.14188737510263,75.8195096936297,60.94,79.0,0.0,8.43
469,srednekolymsk,73.53822964567792,154.31943618118606,-29.24,83.0,100.0,9.42
470,puerto ayora,-22.475062271165882,-105.47041632980138,75.99,95.0,16.0,1.99
471,khatanga,87.29359795553839,93.06411548795381,-20.4,87.0,100.0,10.47
472,eyl,5.973752289171102,53.30236301430037,76.53,61.0,0.0,23.58
473,rikitea,-50.14307281319727,-111.80009759473842,79.21,65.0,95.0,6.87
474,hobyo,4.586171104458586,49.41325745124411,77.9,66.0,0.0,24.61
475,chimoio,-18.108437556782093,34.279291800569695,84.09,70.0,75.0,12.66
477,ostrovnoy,69.54865634654016,42.49092322799703,8.35,93.0,100.0,13.13
478,meulaboh,-2.613757922338337,91.02536528017748,80.19,75.0,100.0,1.74
479,tres passos,-27.233599350910517,-53.83791773994349,81.66,64.0,0.0,5.91
480,yulara,-22.77400437458637,128.70002779655277,84.2,58.0,18.0,9.22
481,umm kaddadah,15.758372327901569,27.079302461383975,89.35,12.0,26.0,14.25
482,portland,-39.5128296522249,141.3504640250531,37.87,81.0,90.0,4.61
483,bara,13.69213045307292,29.385036066120193,86.0,21.0,99.0,10.36
485,hilo,20.38231424617979,-139.11163087051605,64.45,77.0,1.0,8.05
486,gravdal,70.45404907156208,13.348788310152457,24.8,74.0,75.0,5.75
487,lagoa,44.60280243029217,-30.601796227205398,61.75,89.0,100.0,23.69
488,souillac,-51.565186164107196,73.40118509334826,82.4,74.0,40.0,6.91
489,yellowknife,88.74824083832954,-114.4111521028588,-19.32,76.0,90.0,5.75
490,mataura,-63.75687383156496,-141.67726915810806,57.0,84.0,48.0,18.01
491,albany,-79.10650842705225,94.55068562904574,10.26,49.0,0.0,18.01
492,puerto ayora,-1.5649297216404534,-103.77108328915442,75.99,95.0,16.0,1.99
493,ushuaia,-87.89345597252796,-81.74270122918206,59.0,47.0,75.0,17.27
495,ous,61.79392516709177,61.2973529218653,-17.07,88.0,100.0,6.85
496,qasigiannguit,66.28256920441896,-48.21240573701971,19.4,42.0,75.0,9.22
497,provideniya,62.01552267487031,-174.45736404982222,4.93,84.0,2.0,4.25
498,nanortalik,52.63001790216299,-35.201379960577356,22.64,89.0,0.0,11.48
499,namatanai,4.90591856975108,157.0796831810385,80.69,76.0,80.0,4.45
